(0.9537765716870195, 0.9529917545473543, 0.9585597275160166, 0.9598830599317849, 0.9572400388726919, array([4634,  264,  247, 5910]))
(0.9518769787426504, 0.9513907490622572, 0.9567479674796748, 0.9556602241351307, 0.9578381898095393, array([4639,  259,  273, 5884]))
(0.9517865219357756, 0.9510173032543769, 0.95676158027095, 0.9577716420334579, 0.9557536466774716, array([4625,  273,  260, 5897]))
(0.9530529172320217, 0.9523420875017152, 0.957883632232411, 0.9585837258405068, 0.9571845604930262, array([4634,  264,  255, 5902]))
(0.9526910900045228, 0.9518920093672492, 0.9575865704322439, 0.9589085593633263, 0.956268221574344, array([4628,  270,  253, 5904]))
(0.9519674355495251, 0.9512214682196689, 0.9569168356997972, 0.9577716420334579, 0.9560635538261998, array([4627,  271,  260, 5897]))
(0.9524197195838987, 0.951544013715429, 0.9573674825741612, 0.9592333928861458, 0.9555088173434719, array([4623,  275,  251, 5906]))
(0.9514246947082768, 0.9506715956296163, 0.9564300202839757, 0.9572843917492285, 0.9555771725032426, array([4624,  274,  263, 5894]))
(0.9538670284938942, 0.9530729629280592, 0.9586441777489457, 0.9600454766931947, 0.9572469635627531, array([4634,  264,  246, 5911]))
(0.9538670284938942, 0.9531564593358235, 0.9586173320350535, 0.9593958096475557, 0.9578401167504459, array([4638,  260,  250, 5907]))
(0.954228855721393, 0.953481292858643, 0.9589552238805971, 0.9600454766931947, 0.9578674444984605, array([4638,  260,  246, 5911]))
(0.95359565807327, 0.9529337082956499, 0.9583570094975241, 0.9587461426019165, 0.9579681921454073, array([4639,  259,  254, 5903]))
(0.9539574853007688, 0.9530080525951764, 0.9587754110310197, 0.961344810784473, 0.9562197092084006, array([4627,  271,  238, 5919]))
(0.9545906829488919, 0.953868748687286, 0.9592730812915788, 0.9602078934546046, 0.9583400875344464, array([4641,  257,  245, 5912]))
(0.9539574853007688, 0.9530915490029408, 0.9587486830375233, 0.9606951437388338, 0.95681009382077, array([4631,  267,  242, 5915]))
(0.9537765716870195, 0.9528873840376488, 0.9585933068633012, 0.9606951437388338, 0.9565006468305304, array([4629,  269,  242, 5915]))
(0.9502487562189055, 0.9492610269474542, 0.9554511582698849, 0.9579340587948676, 0.9529810954920019, array([4607,  291,  259, 5898]))
(0.9461781999095432, 0.945063923165266, 0.9518335626973204, 0.9548481403280819, 0.9488379599741769, array([4581,  317,  278, 5879]))
(0.9443690637720489, 0.9437946152841666, 0.9499959346288316, 0.9488387201559201, 0.9511559752523608, array([4598,  300,  315, 5842]))
(0.9393939393939394, 0.9387436794910472, 0.9455284552845528, 0.9444534675978561, 0.946605892886212, array([4570,  328,  342, 5815]))
(0.9410221619176843, 0.9405185418728516, 0.9469401041666667, 0.9449407178820854, 0.9489479693361605, array([4585,  313,  339, 5818]))
(0.9400271370420624, 0.9390407748307473, 0.9462417903186573, 0.9477018028260517, 0.9447862694300518, array([4557,  341,  322, 5835]))
(0.9362279511533242, 0.9347741846615573, 0.9430210943182736, 0.9475393860646418, 0.9385456885456885, array([4516,  382,  323, 5834]))
(0.935052012663953, 0.9330296303483379, 0.942217930146467, 0.9507877212928374, 0.9338012442175786, array([4483,  415,  303, 5854]))
(0.9325192220714609, 0.9296912164896055, 0.94032, 0.9545233068052623, 0.9265331861895002, array([4432,  466,  280, 5877]))
(0.9306196291270918, 0.9304281104219102, 0.9373621886484279, 0.932109793730713, 0.9426741130091985, array([4549,  349,  418, 5739]))
(0.9194934418815016, 0.919061788867097, 0.9273706544801698, 0.9228520383303557, 0.9319337379038871, array([4483,  415,  475, 5682]))
(0.9158751696065129, 0.9135799247312049, 0.9251689732861281, 0.9337339613448108, 0.9167596874501674, array([4376,  522,  408, 5749]))
(0.912618724559023, 0.9096127179287744, 0.9226705091258404, 0.9360077960045476, 0.9097079715864246, array([4326,  572,  394, 5763]))
(0.8889190411578471, 0.8856433630336931, 0.901665598975016, 0.9144063667370472, 0.8892749960511768, array([4197,  701,  527, 5630]))
